"SYMBOL ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","LTP ","CHNG ","%CHNG ","VOLUME (shares)","VALUE ","52W H ","52W L ","365 D % CHNG  17-Jul-2020","30 D % CHNG  18-Jun-2021"
"TVSMOTOR","577.55","581.50","558.30","575.65","563.50","-12.15","-2.11",2236686,"1,270,862,618.34","666.00","383.70","41.70","-7.38"
"ICICIPRULI","652.50","659.55","633.65","652.60","638.65","-13.95","-2.14",1739712,"1,121,748,900.48","661.00","397.55","44.36","5.33"
"MARUTI","7,130.00","7,130.00","6,936.00","7,165.05","6,999.00","-166.05","-2.32",1519226,"10,652,159,444.82","8,329.00","6,031.15","14.04","-5.68"
"BALKRISIND","2,368.00","2,389.00","2,297.00","2,359.90","2,300.00","-59.90","-2.54",343023,"802,999,691.85","2,404.30","1,230.00","90.05","4.50"
"PFIZER","6,024.85","6,074.85","5,805.10","6,014.75","5,851.00","-163.75","-2.72",119661,"709,084,760.58","6,105.00","4,179.90","39.40","7.81"
"ADANIGREEN","950.75","955.00","910.00","945.65","917.00","-28.65","-3.03",95929,"88,956,880.28","1,390.00","333.50","-","-15.56"
"LAURUSLABS","624.65","625.90","595.00","618.50","597.90","-20.60","-3.33",6061297,"3,673,630,885.76","1,550.00","252.00","-18.61","-8.54"
"DIXON","4,428.00","4,448.10","4,205.00","4,415.65","4,242.95","-172.70","-3.91",269502,"1,157,931,513.12","21,499.00","3,345.15","-37.71","-1.32"
"INDUSTOWER","233.60","234.00","220.95","232.90","222.80","-10.10","-4.34",5134902,"1,155,096,204.90","282.65","162.20","-","-4.78"
"LICHSGFIN","435.20","440.10","412.40","433.05","413.00","-20.05","-4.63",9397186,"3,985,534,526.32","542.45","255.40","61.25","-7.51"
"COLPAL","1,795.35","1,797.95","1,702.00","1,792.35","1,706.95","-85.40","-4.76",1057455,"1,841,769,373.50","1,823.40","1,322.15","28.79","7.39"
